COUNT	TERM	LEMMA	POS_COUNTS
1984	baronne	baron	NOUN:1984
1982	suivit	suivre	VERB:1982
1974	questions	question	NOUN:1974
1962	doigts	doigt	NOUN:1962
1954	événements	événement	NOUN:1954
1946	arrêté	arrêter	VERB:1946
1941	Hélas	hélas	INTJ:1941
1937	croyais	croire	VERB:1937
1936	longues	long	ADJ:1936
1933	donnant	donner	VERB:1933
1931	noirs	noir	ADJ:1540;NOUN:391
1925	descendit	descendre	VERB:1925
1923	Quelle	quel	DET:1912;ADJ:11
1923	rentra	rentrer	VERB:1923
1919	pouvais	pouvoir	VERB:1919
1916	dut	devoir	VERB:1916
1911	vue	vu	VERB:1876;ADJ:35
1903	savais	savoir	VERB:1903
1899	Anglais	anglais	NOUN:1875;ADJ:22;ADV:1;X:1
1895	tué	tuer	VERB:1895
1894	parents	parent	NOUN:1880;ADJ:14
1890	Sire	sire	NOUN:1890
1890	agissait	agir	VERB:1890
1886	certains	certain	DET:1550;PRON:265;ADJ:71
1883	travaux	travail	NOUN:1883
1876	levant	lever	VERB:1876
1876	permis	permettre	VERB:1876
1866	dirai	dire	VERB:1866
1865	décidé	décider	VERB:1865
1863	connaissez	connaître	VERB:1863
1862	montrant	montrer	VERB:1862
1855	Tous	tout	ADJ:1855
1853	repris	reprendre	VERB:1853
1852	seront	être	AUX:1776;VERB:76
1847	rues	rue	NOUN:1847
1847	sembla	sembler	VERB:1847
1845	répondu	répondre	VERB:1845
1844	dernières	dernier	ADJ:1844
1836	parti	partir	VERB:1836
1832	devenait	devenir	VERB:1832
1828	parlant	parler	VERB:1828
1822	retraite	retrait	NOUN:1822
1811	monta	monter	VERB:1811
1803	frappé	frapper	VERB:1803
1799	jure	jurer	VERB:1799
1796	disparu	disparaître	VERB:1796
1796	oreilles	oreille	NOUN:1796
1795	Monseigneur	monseigneur	NOUN:1790;DET:4;VERB:1
1795	animaux	animal	NOUN:1750;ADJ:45
1795	ennemis	ennemi	NOUN:1666;ADJ:129
1791	charmante	charmant	ADJ:1791
1791	pensa	penser	VERB:1791
1785	habitants	habitant	NOUN:1785
1782	grosse	gros	ADJ:1773;NOUN:9
1781	semblaient	sembler	VERB:1781
1781	sois	être	AUX:1212;VERB:569
1778	vont	aller	VERB:1778
1777	cherchait	chercher	VERB:1777
1770	parlez	parler	VERB:1770
1769	finit	finir	VERB:1769
1762	pensées	pensée	NOUN:1762
1752	folle	fou	ADJ:1722;NOUN:30
1750	humaine	humain	ADJ:1739;NOUN:11
1747	attendu	attendre	VERB:1747
1745	Tiens	tien	NOUN:1745
1744	intérêts	intérêt	NOUN:1744
1741	murs	mur	NOUN:1741
1740	morte	mourir	VERB:1740
1734	entends	entendre	VERB:1734
1729	nommé	nommer	VERB:1729
1728	Tenez	tenir	VERB:1728
1721	répondis	répondre	VERB:1721
1713	remit	remettre	VERB:1713
1710	officiers	officier	NOUN:1710
1699	rendait	rendre	VERB:1699
1693	moments	moment	NOUN:1693
1691	vas	aller	VERB:1691
1667	courut	courir	VERB:1667
1665	riches	riche	ADJ:1239;NOUN:426
1660	camarades	camarade	NOUN:1660
1660	objets	objet	NOUN:1660
1657	fallut	falloir	VERB:1657
1656	certaines	certain	DET:1500;PRON:151;ADJ:5
1644	mouvements	mouvement	NOUN:1644
1643	nouvelles	nouvelle	NOUN:1643
1641	répondait	répondre	VERB:1641
1639	envoyé	envoyer	VERB:1639
1638	partit	partir	VERB:1638
1633	disais	dire	VERB:1633
1630	chiens	chien	NOUN:1622;ADJ:8
1623	fus	être	VERB:1588;AUX:35
1621	comptait	compter	VERB:1621
