TERM_TOTAL	LEMMA_COUNT	CORPUS_SHARE	TERM	LEMMA	POS_COUNTS
1985	627	0.315869	blessé	blessé	NOUN:626;ADJ:1
1968	1943	0.987297	président	président	NOUN:1943
1968	25	0.012703	président	présider	VERB:25
1965	1798	0.915013	rive	rive	NOUN:1798
1965	167	0.084987	rive	river	VERB:167
1965	1506	0.766412	écoute	écouter	VERB:1506
1965	459	0.233588	écoute	écoute	NOUN:459
1950	1941	0.995385	Hélas	hélas	INTJ:1941
1950	9	0.004615	Hélas	Hélas	PROPN:9
1944	1876	0.965021	permis	permettre	VERB:1876
1944	68	0.034979	permis	permis	NOUN:68
1932	1915	0.991201	influence	influence	NOUN:1915
1932	17	0.008799	influence	influencer	VERB:17
1886	1611	0.854189	adresse	adresse	NOUN:1611
1886	275	0.145811	adresse	adresser	VERB:275
1879	1795	0.955295	Monseigneur	monseigneur	NOUN:1790;DET:4;VERB:1
1879	84	0.044705	Monseigneur	Monseigneur	PROPN:84
1869	1865	0.997860	décidé	décider	VERB:1865
1869	4	0.002140	décidé	décidé	ADJ:4
1865	982	0.526542	tombe	tombe	NOUN:982
1865	883	0.473458	tombe	tomber	VERB:883
1862	1853	0.995166	repris	reprendre	VERB:1853
1862	9	0.004834	repris	repris	NOUN:9
1855	1847	0.995687	rues	rue	NOUN:1847
1855	8	0.004313	rues	ruer	VERB:8
1852	1289	0.696004	charge	charge	NOUN:1289
1852	563	0.303996	charge	charger	VERB:563
1837	1828	0.995101	parlant	parler	VERB:1828
1837	9	0.004899	parlant	parlant	ADJ:9
1836	1827	0.995098	épaule	épaule	NOUN:1827
1836	9	0.004902	épaule	épauler	VERB:9
1834	1828	0.996728	domestique	domestique	NOUN:1497;ADJ:331
1834	6	0.003272	domestique	domestiquer	VERB:6
1830	1803	0.985246	frappé	frapper	VERB:1803
1830	27	0.014754	frappé	frappé	ADJ:27
1828	1796	0.982495	disparu	disparaître	VERB:1796
1828	32	0.017505	disparu	disparu	ADJ:30;NOUN:2
1826	1639	0.897590	envoyé	envoyer	VERB:1639
1826	187	0.102410	envoyé	envoyé	NOUN:187
1810	1729	0.955249	nommé	nommer	VERB:1729
1810	81	0.044751	nommé	nommé	ADJ:81
1804	1785	0.989468	fête	fête	NOUN:1785
1804	19	0.010532	fête	fêter	VERB:19
1791	1745	0.974316	Tiens	tien	NOUN:1745
1791	28	0.015634	Tiens	tenir	VERB:28
1791	18	0.010050	Tiens	Tiens	PROPN:18
1781	1741	0.977541	groupe	groupe	NOUN:1741
1781	40	0.022459	groupe	grouper	VERB:40
1762	1391	0.789444	voie	voie	NOUN:1391
1762	371	0.210556	voie	voir	VERB:371
1751	1747	0.997716	attendu	attendre	VERB:1747
1751	4	0.002284	attendu	attendu	NOUN:3;ADJ:1
1746	1728	0.989691	Tenez	tenir	VERB:1728
1746	18	0.010309	Tenez	Tenez	PROPN:18
